,Company,TypeName,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ppi,Touchscreen,IPS,HDD,SSD,Hybrid,Flash_Storage
225,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,74447,141.21,0,0,0,256,0,0
226,Dell,Notebook,Intel Core i7,16,1TB HDD,AMD Radeon,Windows 10,2.3,76864,141.21,1,0,1,0,0,0
227,Asus,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,68810,141.21,0,0,0,256,0,0
228,Asus,Notebook,Intel Core i5,8,256GB SSD +  500GB HDD,Nvidia GeForce,Windows 10,2.69,79727,127.34,0,0,500,256,0,0
229,HP,Notebook,Intel Core i7,8,1TB HDD,AMD FirePro,Windows 10,1.9,113550,141.21,0,0,1,0,0,0
230,Asus,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.37,35702,100.45,0,0,1,0,0,0
231,HP,Notebook,AMD E-Series,4,500GB HDD,AMD Radeon,Windows 10,2.1,29528,100.45,0,0,500,0,0,0
232,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.2,134131,141.21,0,1,1,256,0,0
233,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,76863,157.35,0,0,0,256,0,0
234,Acer,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.6,61652,165.63,1,1,0,256,0,0
235,Dell,Notebook,Intel Core i7,16,256GB SSD,AMD Radeon,Linux,2.36,80443,141.21,0,0,0,256,0,0
236,Acer,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Linux,2.1,34897,100.45,0,0,1,0,0,0
237,Asus,Notebook,AMD A-Series,4,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.2,51451,141.21,0,0,1,128,0,0
238,Asus,Gaming,Intel Core i7,32,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.7,348077,127.34,0,0,1,512,0,0
239,Acer,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,75700,141.21,0,1,0,256,0,0
240,Lenovo,Notebook,Intel Core i3,8,128GB SSD,Intel HD,Windows 10,2.2,52704,100.45,0,0,0,128,0,0
241,Asus,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.1,102455,127.34,0,0,1,128,0,0
242,Asus,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.69,79548,127.34,0,0,1,128,0,0
243,Dell,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.56,78653,141.21,0,0,0,256,0,0
245,Dell,Notebook,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.2,88138,141.21,0,0,2,128,0,0
246,HP,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.04,50019,100.45,1,0,1,0,0,0
247,Asus,Gaming,Intel Core i7,16,256GB SSD,Nvidia GeForce,Windows 10,3.6,268351,127.34,0,0,0,256,0,0
248,HP,Notebook,Intel Core i5,4,500GB HDD,Intel UHD,Windows 10,1.49,60399,165.63,0,1,500,0,0,0
249,Apple,Ultrabook,Intel Core i5,8,512GB SSD,Intel Iris,mac OS,1.37,182539,226.98,0,1,0,512,0,0
250,Dell,2 in 1 Convertible,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.08,73284,141.21,1,1,1,0,0,0
251,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.3,160975,127.34,0,0,1,256,0,0
252,Asus,Notebook,AMD A-Series,4,1TB HDD,AMD Radeon,Windows 10,1.68,41966,100.45,0,0,1,0,0,0
254,Acer,Notebook,Intel Core i3,4,256GB SSD,Nvidia GeForce,Windows 10,3.0,62815,127.34,0,1,0,256,0,0
255,Dell,Ultrabook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,1.41,84917,165.63,0,0,0,256,0,0
256,HP,Notebook,AMD A-Series,8,128GB SSD,AMD Radeon,Windows 10,1.91,39899,100.45,0,0,0,128,0,0
257,HP,Notebook,Intel Core i7,16,1TB HDD,Nvidia GeForce,Windows 10,2.9,94759,127.34,0,1,1,0,0,0
258,MSI,Gaming,Intel Core i7,16,512GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.14,223611,127.34,0,0,1,512,0,0
259,Lenovo,2 in 1 Convertible,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,2.0,152027,141.21,1,1,0,512,0,0
260,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,102186,127.34,0,0,1,128,0,0
261,Lenovo,Notebook,Intel Core i3,4,256GB SSD,Intel HD,No OS,2.2,39729,141.21,0,0,0,256,0,0
262,HP,Notebook,Intel Core i5,4,500GB HDD,Intel HD,Windows 10,2.1,64605,141.21,0,1,500,0,0,0
263,Dell,Notebook,Intel Core i5,4,1TB HDD,Intel HD,Windows 10,2.18,58788,141.21,0,0,1,0,0,0
264,Dell,Notebook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,2.24,50556,141.21,0,0,1,0,0,0
265,Dell,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.67,71495,141.21,1,0,0,256,0,0
266,Asus,2 in 1 Convertible,Intel Core i7,8,512GB SSD +  512GB SSD,Intel UHD,Windows 10,1.1,134131,165.63,1,0,0,1024,0,0
267,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Intel HD,No OS,2.2,41787,141.21,0,0,1,0,0,0
268,HP,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.5,91091,127.34,0,0,1,0,0,0
269,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,2.05,78742,141.21,0,0,0,256,0,0
270,Apple,Ultrabook,Intel Core i5,8,512GB SSD,Intel Iris,mac OS,1.37,175282,226.98,0,1,0,512,0,0
271,Asus,Gaming,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,138605,127.34,0,0,1,256,0,0
272,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.14,65774,141.21,0,0,0,256,0,0
273,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.36,223611,209.8,1,0,0,512,0,0
274,Toshiba,Notebook,Intel Core i7,8,500GB HDD,Nvidia GeForce,Windows 10,2.2,72658,100.45,0,0,500,0,0,0
275,Dell,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.3,63806,100.45,0,0,1,0,0,0
276,Dell,Notebook,Intel Core i7,8,128GB SSD +  1TB HDD,AMD Radeon,Linux,2.8,98339,127.34,0,0,1,128,0,0
277,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,2.2,66663,141.21,0,1,1,0,0,0
278,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,2.8,43756,106.11,0,0,1,0,0,0
279,Lenovo,Notebook,Intel Core i7,8,2TB HDD,Nvidia GeForce,No OS,2.8,75969,127.34,0,0,2,0,0,0
280,Lenovo,Notebook,Intel Core i7,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,76863,106.11,0,0,1,128,0,0
281,Dell,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Linux,2.25,38297,141.21,0,0,1,0,0,0
282,Lenovo,Gaming,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,74179,141.21,0,1,0,256,0,0
283,Lenovo,Notebook,Intel Core i5,6,256GB SSD,Intel HD,Windows 10,2.2,51809,141.21,0,0,0,256,0,0
284,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,3.0,85095,141.21,0,1,0,256,0,0
285,Acer,Notebook,Intel Core i7,12,1TB HDD,Intel HD,Windows 10,2.15,58967,141.21,1,1,1,0,0,0
286,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.95,98160,141.21,0,1,0,256,0,0
287,Asus,Ultrabook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,87422,141.21,0,0,0,256,0,0
288,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,105497,141.21,0,1,1,256,0,0
289,Lenovo,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,No OS,2.2,58968,141.21,0,0,1,0,0,0
290,Acer,Notebook,Other Intel Processor,2,16GB SSD,Intel HD,Chrome OS,2.19,17807,100.45,0,0,0,16,0,0
291,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,106213,127.34,0,0,1,0,0,0
292,HP,Notebook,Intel Core i3,8,1TB HDD,Intel HD,Windows 10,2.54,43756,106.11,0,0,1,0,0,0
293,Dell,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,163659,141.21,0,0,0,256,0,0
294,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel UHD,Windows 10,2.05,66126,141.21,0,0,0,256,0,0
295,Lenovo,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.2,116235,141.21,0,1,1,0,0,0
296,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,87601,141.21,0,0,0,256,0,0
297,Dell,Workstation,Intel Core i7,16,256GB SSD,Nvidia Quadro,Windows 10,3.42,258137,127.34,0,0,0,256,0,0
298,Lenovo,Notebook,AMD A-Series,6,1TB HDD,AMD Radeon,Windows 10,2.4,44651,141.21,0,0,1,0,0,0
299,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,1.63,131357,141.21,0,0,0,512,0,0
300,Asus,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.3,45545,111.94,0,0,0,128,0,0
301,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,189877,127.34,0,0,1,256,0,0
302,Lenovo,Notebook,Intel Core i5,6,1TB HDD,Nvidia GeForce,Windows 10,2.8,58073,106.11,0,0,1,0,0,0
303,Lenovo,Notebook,Intel Core i5,8,2TB HDD,Nvidia GeForce,No OS,2.2,49125,100.45,0,0,2,0,0,0
304,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.5,113192,141.21,0,0,1,128,0,0
305,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,32212,100.45,0,0,1,0,0,0
306,HP,2 in 1 Convertible,Intel Core i7,16,256GB SSD,Intel HD,Windows 10,1.28,176723,165.63,1,0,0,256,0,0
307,Toshiba,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.2,93328,141.21,0,1,0,256,0,0
308,Lenovo,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,73284,141.21,0,0,1,128,0,0
309,HP,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.86,41966,141.21,0,0,1,0,0,0
310,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.1,89391,165.63,0,1,0,256,0,0
311,Dell,Ultrabook,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.21,223611,331.26,1,1,0,1,0,0
312,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,187819,141.21,0,1,1,256,0,0
313,Acer,Notebook,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.23,41966,141.21,0,0,0,256,0,0
314,Asus,2 in 1 Convertible,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.1,24607,135.09,1,0,0,0,0,32
315,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.33,75521,141.21,0,0,1,128,0,0
316,HP,2 in 1 Convertible,Intel Core i7,16,1TB SSD,Intel UHD,Windows 10,1.29,219137,331.26,1,1,0,1,0,0
317,Lenovo,Notebook,Other Intel Processor,4,16GB Flash Storage,Intel HD,Chrome OS,1.45,41152,117.83,0,0,0,0,0,16
318,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.95,87690,157.35,0,0,0,256,0,0
319,Acer,Notebook,Other Intel Processor,4,128GB Flash Storage,Intel HD,Windows 10,1.4,43398,135.09,0,0,0,0,0,128
320,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.48,115608,157.35,0,0,0,256,0,0
321,Lenovo,Notebook,Intel Core i5,4,1TB HDD,Nvidia GeForce,Windows 10,2.79,52704,106.11,0,0,1,0,0,0
322,Asus,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.0,97891,157.35,0,0,0,256,0,0
323,HP,Notebook,Intel Core i7,8,1TB HDD,Intel UHD,Windows 10,2.1,80711,100.45,0,1,1,0,0,0
324,Acer,Notebook,AMD A-Series,8,256GB SSD,AMD Radeon,Windows 10,2.2,58967,100.45,0,0,0,256,0,0
325,Lenovo,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.44,26128,111.94,0,0,0,0,0,32
326,Acer,Notebook,Intel Core i5,6,1TB HDD,Intel HD,Windows 10,2.23,49125,100.45,0,0,1,0,0,0
327,Asus,Ultrabook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,1.7,93945,141.21,0,0,0,256,0,0
328,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.26,119456,176.23,0,0,0,256,0,0
329,Dell,Notebook,Intel Core i7,32,1TB SSD,Nvidia GeForce,Windows 10,2.06,236138,282.42,1,0,0,1,0,0
330,MSI,Gaming,Intel Core i7,8,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,107287,127.34,0,0,1,256,0,0
331,Toshiba,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,84380,141.21,0,1,0,256,0,0
332,Asus,Notebook,Intel Core i7,8,256GB SSD +  1TB HDD,Intel HD,Windows 10,2.0,119366,157.35,0,0,1,256,0,0
333,Lenovo,Notebook,Intel Core i3,4,1TB HDD,Intel HD,Windows 10,1.85,40177,141.21,0,0,1,0,0,0
334,Asus,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.5,89391,141.21,0,0,0,256,0,0
335,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.48,113461,157.35,0,0,0,256,0,0
336,Dell,Ultrabook,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,1.9,93865,141.21,0,1,1,128,0,0
337,HP,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.84,102365,141.21,0,0,0,256,0,0
338,Asus,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Linux,2.0,24606,100.45,0,0,1,0,0,0
339,Dell,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,2.0,102253,141.21,0,0,0,256,0,0
340,Dell,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Linux,2.2,24598,100.45,0,0,500,0,0,0
341,Lenovo,Notebook,AMD A-Series,12,2TB HDD,AMD Radeon,Windows 10,2.2,80443,141.21,0,0,2,0,0,0
342,HP,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,Windows 10,2.1,64068,141.21,0,1,1,0,0,0
344,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.2,141289,165.63,0,0,0,256,0,0
345,Lenovo,Gaming,Intel Core i7,16,256GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.4,101023,141.21,0,1,2,256,0,0
346,HP,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.44,24965,111.94,0,0,0,0,0,32
347,Dell,Ultrabook,Intel Core i7,16,512GB SSD +  256GB SSD,Intel UHD,Windows 10,1.88,143880,141.21,0,0,0,768,0,0
348,Asus,2 in 1 Convertible,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,33555,135.09,1,0,0,0,0,32
349,Dell,Ultrabook,Intel Core i5,8,1TB HDD,AMD Radeon,Windows 10,1.9,59325,141.21,0,0,1,0,0,0
350,Dell,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.06,181414,282.42,1,0,0,512,0,0
351,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.84,116682,141.21,0,0,0,256,0,0
352,MSI,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.7,126077,127.34,0,0,1,128,0,0
353,HP,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.6,155540,141.21,0,0,0,256,0,0
354,Toshiba,Notebook,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.4,125540,141.21,0,1,0,512,0,0
355,Dell,Notebook,Intel Core i7,8,128GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,86876,141.21,0,0,2,128,0,0
356,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,No OS,2.2,28812,100.45,0,0,1,0,0,0
357,Dell,Gaming,Intel Core i5,8,1TB HDD,Nvidia GeForce,Windows 10,2.65,89391,141.21,0,0,1,0,0,0
358,Dell,Notebook,Intel Core i5,8,2TB HDD,Intel HD,Windows 10,2.36,49873,100.45,1,0,2,0,0,0
359,Dell,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.36,127688,157.35,0,0,0,256,0,0
360,HP,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,1.86,39282,100.45,0,0,500,0,0,0
361,Asus,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,2.0,84559,157.35,0,0,0,256,0,0
362,Lenovo,Notebook,Intel Core i5,6,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,64336,106.11,0,0,1,128,0,0
363,HP,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,1.86,57178,141.21,0,0,1,0,0,0
364,Lenovo,Notebook,Intel Core i3,8,256GB SSD,Nvidia GeForce,No OS,2.2,44651,100.45,0,0,0,256,0,0
365,HP,Notebook,Other Intel Processor,8,2TB HDD,Intel HD,Windows 10,2.04,34808,100.45,0,0,2,0,0,0
366,Dell,Notebook,Intel Core i5,8,128GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.8,97086,127.34,0,0,1,128,0,0
367,Lenovo,Gaming,Intel Core i5,8,128GB SSD +  1TB HDD,Nvidia GeForce,No OS,2.4,72389,141.21,0,1,1,128,0,0
368,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.33,80443,141.21,0,0,0,256,0,0
369,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.36,156590,157.35,0,1,0,256,0,0
370,Asus,2 in 1 Convertible,Intel Core i7,12,512GB SSD +  2TB HDD,Nvidia GeForce,Windows 10,2.26,98339,141.21,1,0,2,512,0,0
371,Acer,Notebook,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.1,38118,100.45,0,0,0,128,0,0
372,Asus,Gaming,AMD Ryzen Series,16,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.25,196767,127.34,0,1,1,256,0,0
373,Lenovo,Notebook,AMD A-Series,4,128GB SSD,AMD Radeon,Windows 10,2.6,43756,106.11,0,0,0,128,0,0
374,Dell,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel UHD,Windows 10,1.62,77759,165.63,1,0,0,256,0,0
375,HP,Notebook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,43755,141.21,0,0,0,256,0,0
376,Lenovo,Netbook,Other Intel Processor,4,128GB SSD,Intel HD,Windows 10,1.59,49482,135.09,0,1,0,128,0,0
377,Dell,Notebook,Other Intel Processor,4,500GB HDD,Intel HD,Windows 10,1.8,27649,100.45,0,0,500,0,0,0
378,Asus,Notebook,Other Intel Processor,4,32GB Flash Storage,Intel HD,Windows 10,1.5,25591,111.94,0,0,0,0,0,32
379,Acer,Notebook,Intel Core i7,8,1TB HDD,Nvidia GeForce,Linux,2.4,75700,141.21,0,0,1,0,0,0
380,HP,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,106571,127.34,0,1,1,128,0,0
381,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,No OS,1.85,36105,141.21,0,0,0,128,0,0
382,Asus,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.3,148089,141.21,0,1,1,128,0,0
383,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Nvidia GeForce,Windows 10,1.5,98339,157.35,0,1,0,256,0,0
384,Asus,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.1,156492,165.63,1,0,0,512,0,0
385,Lenovo,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.13,204193,209.8,0,1,0,512,0,0
386,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.5,49125,165.63,0,1,0,128,0,0
387,Dell,Workstation,Intel Core i5,8,500GB HDD,AMD FirePro,Windows 10,2.23,122498,141.21,0,0,500,0,0,0
388,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,2.0,191040,141.21,0,1,0,256,0,0
389,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.42,224505,209.8,1,0,0,512,0,0
390,Asus,Gaming,Intel Core i7,8,1TB HDD,Nvidia GeForce,Windows 10,3.0,92970,127.34,0,0,1,0,0,0
391,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.0,142363,127.34,0,0,1,256,0,0
392,Acer,Notebook,Intel Core i5,12,1TB HDD,Nvidia GeForce,Windows 10,2.2,62098,100.45,0,1,1,0,0,0
393,MSI,Gaming,Intel Core i7,8,256GB SSD,Nvidia GeForce,Windows 10,2.7,120709,127.34,0,0,0,256,0,0
394,Dell,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Linux,2.33,69693,141.21,0,0,0,256,0,0
395,HP,Ultrabook,AMD A-Series,4,256GB SSD,AMD Radeon,Windows 10,1.91,44651,141.21,0,0,0,256,0,0
396,Lenovo,Notebook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,2.1,110021,141.21,0,1,0,256,0,0
397,Lenovo,Notebook,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.9,83932,157.35,0,1,0,256,0,0
398,Dell,Workstation,Intel Core i7,8,256GB SSD,Nvidia Quadro,Windows 10,1.78,242670,282.42,1,0,0,256,0,0
399,Lenovo,Ultrabook,Intel Core i7,16,1TB SSD,Intel HD,Windows 10,1.13,234885,209.8,0,1,0,1,0,0
400,Lenovo,Notebook,Other Intel Processor,4,1TB HDD,Intel HD,Windows 10,2.2,27381,100.45,0,0,1,0,0,0
401,Asus,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.9,136815,127.34,0,0,1,256,0,0
402,Lenovo,Notebook,Intel Core i5,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,2.1,102410,141.21,0,1,1,256,0,0
403,Acer,Notebook,Intel Core i7,8,256GB SSD,Nvidia GeForce,Linux,2.5,78653,141.21,0,0,0,256,0,0
404,MSI,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.8,201241,127.34,0,0,1,256,0,0
405,Asus,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.1,167596,157.35,0,0,0,512,0,0
406,Toshiba,Ultrabook,Intel Core i7,16,512GB SSD,Intel HD,Windows 10,1.2,156322,165.63,0,0,0,512,0,0
407,Dell,Ultrabook,Intel Core i7,8,512GB SSD,Intel HD,Windows 10,1.36,150326,157.35,0,0,0,512,0,0
408,Lenovo,Notebook,Intel Core i3,4,500GB HDD,Intel HD,Windows 10,2.2,36597,141.21,0,0,500,0,0,0
409,Lenovo,Notebook,Other Intel Processor,2,32GB Flash Storage,Intel HD,Windows 10,1.15,27242,135.09,0,0,0,0,0,32
410,Lenovo,Workstation,Intel Core i7,8,512GB SSD,Nvidia Quadro,Windows 10,2.67,172249,141.21,0,0,0,512,0,0
411,Lenovo,Ultrabook,Intel Core i7,8,512GB SSD,Nvidia GeForce,Windows 10,1.7,173860,209.8,0,1,0,512,0,0
412,HP,Notebook,Intel Core i3,4,1TB HDD,AMD Radeon,Windows 10,2.1,41966,141.21,0,0,1,0,0,0
413,Acer,2 in 1 Convertible,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.6,70601,165.63,1,1,0,256,0,0
414,Asus,2 in 1 Convertible,Intel Core i5,8,256GB SSD,Intel HD,Windows 10,1.27,83037,165.63,1,1,0,256,0,0
415,Dell,Notebook,Intel Core i5,4,256GB SSD,AMD Radeon,Linux,2.3,53590,141.21,0,0,0,256,0,0
416,Dell,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.65,61652,117.83,0,0,0,128,0,0
417,HP,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.43,134220,157.35,0,0,0,256,0,0
418,Dell,Notebook,Intel Core i5,8,1TB HDD,Intel HD,Windows 10,2.14,48315,100.45,0,0,1,0,0,0
419,Lenovo,Ultrabook,Intel Core i7,8,256GB SSD,AMD Radeon,Windows 10,1.75,108752,157.35,0,1,0,256,0,0
420,Lenovo,2 in 1 Convertible,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.0,169923,282.42,1,1,0,512,0,0
422,HP,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,2.31,127688,141.21,0,0,0,256,0,0
423,Asus,Notebook,Intel Core i3,8,1TB HDD,Nvidia GeForce,Linux,2.3,53420,141.21,0,0,1,0,0,0
424,Dell,Gaming,Intel Core i7,16,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,4.42,250455,169.78,0,1,1,256,0,0
425,Dell,Gaming,Intel Core i7,8,128GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,2.62,103707,141.21,0,1,1,128,0,0
426,Dell,Notebook,Intel Core i7,8,256GB SSD +  2TB HDD,AMD Radeon,Windows 10,2.02,102222,141.21,0,0,2,256,0,0
427,Dell,Ultrabook,Intel Core i7,8,256GB SSD,Intel HD,Linux,1.6,98339,157.35,0,0,0,256,0,0
428,HP,Gaming,Intel Core i7,12,256GB SSD +  1TB HDD,Nvidia GeForce,Windows 10,3.35,178871,127.34,0,0,1,256,0,0
431,Lenovo,Notebook,Intel Core i7,8,256GB SSD,Intel HD,Windows 10,1.4,90375,165.63,0,1,0,256,0,0
432,Lenovo,Notebook,Intel Core i3,4,128GB SSD,Intel HD,Windows 10,1.7,53599,157.35,0,1,0,128,0,0
433,Lenovo,Workstation,Intel Core i7,16,512GB SSD,Nvidia GeForce,Windows 10,2.3,218779,282.42,0,1,0,512,0,0
434,Lenovo,Notebook,Intel Core i7,16,512GB SSD,Nvidia Quadro,Windows 10,2.5,219137,141.21,0,0,0,512,0,0
435,Asus,Gaming,AMD Ryzen Series,8,256GB SSD +  1TB HDD,AMD Radeon,Windows 10,3.2,151669,127.34,0,0,1,256,0,0
